Fecha,Exterior,Interior,Sensor 2,Sensor 1
2018-06-04 12:48:57.404111,25.39,26.86,26.37,26.37
2018-06-04 12:48:57.711220,25.88,26.86,26.37,26.86
2018-06-04 12:48:58.016414,25.39,26.86,26.37,26.86
2018-06-04 12:48:58.323681,25.39,26.86,26.37,26.86
2018-06-04 12:48:58.629850,25.88,26.86,25.88,26.86
2018-06-04 12:48:58.937572,25.39,26.37,26.37,26.37
2018-06-04 12:48:59.244938,25.88,26.37,26.37,26.86
2018-06-04 12:48:59.552113,25.39,26.86,26.37,26.37
2018-06-04 12:48:59.859452,25.39,26.86,26.37,26.86
2018-06-04 12:49:00.165124,25.88,26.86,26.37,26.37
2018-06-04 12:49:00.473376,25.39,26.86,26.37,26.86
2018-06-04 12:49:00.778416,25.39,26.86,26.37,26.37
2018-06-04 12:49:01.085789,25.88,26.86,26.37,26.86
2018-06-04 12:49:01.390034,25.88,26.37,26.37,26.86
2018-06-04 12:49:01.694870,25.39,26.86,26.37,26.86
2018-06-04 12:49:02.000054,25.39,26.37,26.37,26.86
2018-06-04 12:49:02.307875,25.39,26.86,26.37,26.86
2018-06-04 12:49:02.614826,25.39,26.37,26.37,26.86
2018-06-04 12:49:02.920424,25.39,26.37,26.37,26.86
2018-06-04 12:49:03.227644,25.88,26.86,26.37,26.86
2018-06-04 12:49:03.534869,25.39,26.37,26.37,26.86
2018-06-04 12:49:03.839697,25.39,26.37,26.37,26.86
2018-06-04 12:49:04.146418,25.39,26.86,26.37,26.86
2018-06-04 12:49:04.452662,25.39,26.37,26.37,26.37
2018-06-04 12:49:04.759284,25.88,26.86,26.37,26.37
2018-06-04 12:49:05.066007,25.39,26.86,26.37,26.86
2018-06-04 12:49:05.373228,25.39,26.86,26.37,26.86
2018-06-04 12:49:05.680365,25.88,26.86,26.37,26.86
2018-06-04 12:49:06.009601,25.39,26.86,25.88,26.37
2018-06-04 12:49:06.318823,25.88,26.37,26.37,26.86
2018-06-04 12:49:06.626544,25.88,26.86,26.37,26.86
